Loại xi măng,Mác bê tông,Độ sụt,Đá dăm,Xi măng,Cát vàng,Đá dăm,Nước,Phụ gia
PC30,100,2:04,1x2,218,0.516,0.905,185,
PC30,150,2:04,1x2,281,0.493,0.891,185,
PC30,200,2:04,1x2,342,0.469,0.878,185,
PC30,250,2:04,1x2,405,0.444,0.865,185,
PC30,300,2:04,1x2,439,0.444,0.865,174,Dẻo hoá
PC30,100,2:04,2x4,207,0.516,0.906,175,
PC30,150,2:04,2x4,266,0.496,0.891,175,
PC30,200,2:04,2x4,323,0.471,0.882,175,
PC30,250,2:04,2x4,384,0.452,0.864,175,
PC30,300,2:04,2x4,455,0.414,0.851,180,
PC30,100,6:08,1x2,230,0.494,0.903,195,
PC30,150,6:08,1x2,296,0.475,0.881,195,
PC30,200,6:08,1x2,361,0.45,0.866,195,
PC30,250,6:08,1x2,434,0.415,0.858,195,
PC30,300,6:08,1x2,458,0.424,0.861,181,Dẻo hoá
PC30,100,6:08,2x4,218,0.501,0.896,185,
PC30,150,6:08,2x4,281,0.478,0.882,185,
PC30,200,6:08,2x4,342,0.455,0.867,185,
PC30,250,6:08,2x4,405,0.427,0.858,185,
PC30,300,6:08,2x4,427,0.441,0.861,169,Dẻo hoá
PC30,100,14:17,1x2,,,,,
PC30,150,14:17,1x2,297,0.521,0.832,195,Dẻo hoá
PC30,200,14:17,1x2,363,0.494,0.82,195,Dẻo hoá
PC30,250,14:17,1x2,436,0.456,0.808,198,Dẻo hoá
PC30,300,14:17,1x2,480,0.448,0.805,190,Siêu dẻo
PC30,100,14:17,2x4,,,,,
PC30,150,14:17,2x4,284,0.523,0.831,186,Dẻo hoá
PC30,200,14:17,2x4,345,0.502,0.817,186,Dẻo hoá
PC30,250,14:17,2x4,410,0.468,0.812,186,Dẻo hoá
PC30,300,14:17,2x4,455,0.458,0.806,180,Siêu dẻo
PC40,100,2:04,1x2,,,,,
PC40,150,2:04,1x2,233,0.51,0.903,185,
PC40,200,2:04,1x2,281,0.493,0.891,185,
PC40,250,2:04,1x2,327,0.475,0.881,185,
PC40,300,2:04,1x2,374,0.457,0.872,185,
PC40,350,2:04,1x2,425,0.432,0.86,187,
PC40,400,2:04,1x2,439,0.444,0.865,174,Dẻo hoá
PC40,100,2:04,2x4,,,,,
PC40,150,2:04,2x4,221,0.511,0.902,175,
PC40,200,2:04,2x4,266,0.496,0.891,175,
PC40,250,2:04,2x4,309,0.479,0.882,175,
PC40,300,2:04,2x4,354,0.464,0.87,175,
PC40,350,2:04,2x4,398,0.358,0.864,175,
PC40,400,2:04,2x4,455,0.414,0.851,180,
PC40,100,6:08,1x2,,,,,
PC40,150,6:08,1x2,246,0.495,0.891,195,
PC40,200,6:08,1x2,296,0.475,0.881,195,
PC40,250,6:08,1x2,344,0.456,0.872,195,
PC40,300,6:08,1x2,394,0.436,0.862,195,
PC40,350,6:08,1x2,455,0.4,0.851,200,
PC40,400,6:08,1x2,458,0.424,0.861,181,Dẻo hoá
PC40,100,6:08,2x4,,,,,
PC40,150,6:08,2x4,233,0.496,0.891,185,
PC40,200,6:08,2x4,281,0.477,0.882,185,
PC40,250,6:08,2x4,327,0.461,0.87,185,
PC40,300,6:08,2x4,374,0.442,0.862,185,
PC40,350,6:08,2x4,425,0.418,0.851,187,
PC40,400,6:08,2x4,427,0.441,0.861,169,Dẻo hoá
PC40,100,14:17,1x2,,,,,
PC40,150,14:17,1x2,247,0.542,0.841,195,Dẻo hoá
PC40,200,14:17,1x2,297,0.522,0.832,195,Dẻo hoá
PC40,250,14:17,1x2,346,0.501,0.822,195,Dẻo hoá
PC40,300,14:17,1x2,396,0.477,0.816,195,Dẻo hoá
PC40,350,14:17,1x2,455,0.448,0.805,200,Dẻo hoá
PC40,400,14:17,1x2,480,0.448,0.805,190,Siêu dẻo
PC40,100,14:17,2x4,,,,,
PC40,150,14:17,2x4,235,0.542,0.842,186,Dẻo hoá
PC40,200,14:17,2x4,284,0.522,0.831,186,Dẻo hoá
PC40,250,14:17,2x4,330,0.505,0.822,186,Dẻo hoá
PC40,300,14:17,2x4,378,0.485,0.814,186,Dẻo hoá
PC40,350,14:17,2x4,429,0.459,0.8,188,Dẻo hoá
PC40,400,14:17,2x4,455,0.459,0.8,180,Siêu dẻo
