Số hiệu,Code,,H 100,H 120,H 140,H 160,H 180,H 200,H 220,H 250
Khối lượng riêng,g,kg/m,20,26.2,33.3,41.9,50.5,60.3,70.4,85.6
Diện tích tiết diện,F,cm2,25.5,33.4,42.4,53.4,64.4,76.8,89.8,109
Chiều cao,h,mm,100,120,140,160,180,200,220,250
Chiều rộng,b,mm,100,120,140,160,180,200,220,250
Chiều dày thân,d,mm,6,6.5,7,8,8.5,9,9.5,10
Chiều dày trung bình cánh,t,mm,10,11,12,13,14,15,16,17
Bán kính lượn thân,r1,mm,12,12,12,15,15,18,18,23
Bán kính lượn cánh,r2,mm,6,6,6,7.5,7.5,9,9,11.5
Mô men quán tính với trục x,Jx,cm4,436,842,1470,2420,3740,5530,7880,12500
Mô đun cản với trục x,Zx,cm3,87.2,140,211,303,415,553,716,997
Bán kính quán tính với trục x,rx,cm,4.13,5.02,5.89,6.74,7.62,8.48,9.35,10.7
Mô men quán tính với trục y,Jy,cm4,136,255,438,695,1030,1530,2160,3260
Mô đun cản với trục y,Zy,cm3,27.2,42.6,62.5,86.8,117,153,196,260
Bán kính quán tính với trục y,ry,cm,2.31,2.76,3.21,3.61,4.05,4.46,4.9,5.46
Diện tích sơn theo chiều dài,fSL,m²/m,0.5413,0.6552,0.7691,0.8766,0.9905,1.0989,1.2128,1.3748
Diện tích sơn theo trọng lượng,fSG,m²/T,27.06,25.01,23.1,20.92,19.61,18.22,17.23,16.06
