Số hiệu,Code,,I 80x6,I 100x8,I 120x12,I 140x15,I 160x18,I 180x23,I 200x27,I 220x32,I 240x36,I 250x38,I 270x41,I 300x46,I 350x56,I 400x66,I 450x76,I 500x91,I 550x107,I 600x131
Khối lượng riêng,g,kg/m,6.03,8.57,11.5,14.8,18.5,22.7,27.2,32.1,36.4,38.4,41.3,45.8,58.8,65.5,76.1,91.2,107,131
Diện tích tiết diện,F,cm2,7.69,10.9,14.7,18.8,23.6,28.9,34.6,40.8,46.3,49,52.6,58.4,71.1,83.5,96.9,116,136,167
Chiều cao,h,mm,80,100,120,140,160,180,200,220,240,250,270,300,350,400,450,500,550,600
Chiều rộng,b,mm,40,50,60,70,80,90,100,110,120,125,125,130,140,150,160,170,180,210
Chiều dày cánh,tf,mm,6,6.8,7.6,8.4,9.2,10,10.8,11.6,12,12.2,12.7,13.2,14.6,15.5,16.5,18.7,20.4,22.1
Chiều dày thân,tw,mm,4,4.5,5,5.5,6,6.5,7,7.5,7.8,7.9,8.2,8.5,9.1,9.7,10.3,11,12,13
Bán kính lượn thân,r1,mm,6,7,8,8,9,10,11,11,12,12,13,13,15,16,16,19,20,22
Bán kính lượn cánh,r2,mm,3,3.5,4,4,4.5,5,5.5,5.5,6,6,6.5,6.5,7.5,8,8,9.5,10,11
Mô men quán tính với trục x,Jx,cm4,77.7,175,342,603,993,1540,2300,3290,4450,5130,6340,8620,14200,21600,31400,46600,65700,97500
Mô đun cản với trục x,Zx,cm3,19.4,35,57,86.2,124,172,230,299,371,410,470,574,812,1080,1400,1870,2390,3250
Bán kính quán tính với trục x,rx,cm,3.18,4.01,4.83,5.66,6.49,7.31,8.14,8.77,9.81,10.2,11,12.2,14.1,16.1,18,20,21.9,24.1
Mô men quán tính với trục y,Jy,cm4,5.65,12.3,23.5,41.2,66.7,103,151,216,286,328,343,402,556,725,940,1290,1680,2850
Mô đun cản với trục y,Zy,cm3,2.82,4.93,7.84,11.8,16.7,22.8,30.2,39.2,47.7,52.4,54.9,61.8,79.5,96.7,117,151,186,271
Bán kính quán tính với trục y,ry,cm,0.857,1.06,1.27,1.48,1.68,1.89,2.09,2.3,2.49,2.56,2.55,2.62,2.8,2.95,3.11,3.33,3.51,4.13
Diện tích sơn theo chiều dài,fSL,m²/m,0.2915,0.3662,0.4409,0.5174,0.5921,0.6667,0.7414,0.8179,0.8929,0.9315,0.9691,1.0473,1.1799,1.3144,1.4508,1.5814,1.7152,1.9219
Diện tích sơn theo trọng lượng,fSG,m²/T,48.35,42.73,38.34,34.96,32,29.37,27.26,25.48,24.53,24.26,23.46,22.87,20.07,20.07,19.06,17.34,16.03,14.67
