Số hiệu,Code,,30x20x3,30x20x4,40x20x4,40x25x4,45x30x5,50x30x4,50x30x5,50x40x5,60x30x5,60x30x6,60x40x5,60x40x6,60x50x6,60x50x8,65x50x5,65x50x6,65x50x8,70x50x6,70x50x7,75x50x6,75x50x8,80x40x6,80x40x8,80x60x6,80x60x7,80x60x8,90x60x8,90x65x6,90x65x8,90x75x8,90x75x10,90x75x13,100x50x6,100x50x8,100x50x10,100x65x7,100x65x8,100x65x10,100x75x8,100x75x10,100x75x12,100x90x10,100x90x13,120x80x8,120x80x10,120x80x12,125x75x8,125x75x10,125x75x12,125x90x10,125x90x13,135x65x8,135x65x10,150x75x9,150x75x10,150x75x12,150x75x15,150x90x10,150x90x12,150x90x15,150x100x10,150x100x12,150x100x16,180x90x10,200x100x10,200x100x12,200x100x14,200x100x16,200x150x12,200x150x15,200x150x20,200x150x25
Khối lượng riêng,g,kg/m,1.12,1.46,1.77,1.93,2.76,2.41,2.96,3.36,3.36,3.98,3.76,4.46,4.93,6.44,4.35,5.16,6.75,5.41,6.25,5.65,7.39,5.41,7.07,6.37,7.36,8.34,8.97,7.07,9.29,9.91,12.2,15.6,6.84,8.97,11,8.77,9.94,12.3,10.6,13,15.4,14.2,18.1,12.2,15,17.8,12.2,15,17.8,16.2,20.7,12.2,15,15.4,17,20.2,24.8,18.2,21.6,26.6,19,22.5,29.5,20.5,23,27.3,31.6,35.9,32,39.6,52,64
Diện tích tiết diện,F,cm2,1.43,1.86,2.26,2.46,3.52,3.07,3.78,4.28,4.28,5.07,4.79,5.68,6.28,8.2,5.54,6.58,8.6,6.89,7.96,7.19,9.41,6.89,9.01,8.11,9.38,10.6,11.4,9.01,11.8,12.6,15.6,19.8,8.71,11.4,14.1,11.2,12.7,15.6,13.5,16.6,19.7,18.1,23.1,15.5,19.1,22.7,15.5,19.1,22.7,20.6,26.4,15.5,19.1,19.6,21.7,25.7,31.7,23.2,27.5,33.9,24.2,28.7,37.6,26.2,29.2,34.8,40.3,45.7,40.8,50.5,66.2,81.5
Chiều cao,h,mm,30,30,40,40,45,50,50,50,60,60,60,60,60,60,65,65,65,70,70,75,75,80,80,80,80,80,90,90,90,90,90,90,100,100,100,100,100,100,100,100,100,100,100,120,120,120,125,125,125,125,125,135,135,150,150,150,150,150,150,150,150,150,150,180,200,200,200,200,200,200,200,200
Chiều rộng,b,mm,20,20,20,25,30,30,30,40,30,30,40,40,50,50,50,50,50,50,50,50,50,40,40,60,60,60,60,65,65,75,75,75,50,50,50,65,65,65,75,75,75,90,90,80,80,80,75,75,75,90,90,65,65,75,75,75,75,90,90,90,100,100,100,90,100,100,100,100,150,150,150,150
Chiều dày trung bình cánh,t,mm,3,4,4,4,5,4,5,5,5,6,5,6,6,8,5,6,8,6,7,6,8,6,8,6,7,8,8,6,8,8,10,13,6,8,10,7,8,10,8,10,12,10,13,8,10,12,8,10,12,10,13,8,10,9,10,12,15,10,12,15,10,12,16,10,10,12,14,16,12,15,20,25
Bán kính lượn thân,r1,mm,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,15,15,15,15,15,15,15,15
Khoảng cách từ trọng tâm,Cx,cm,0.99,1.03,1.47,1.36,1.52,1.68,1.73,1.55,2.17,2.21,1.96,2,1.84,1.91,1.99,2.04,2.11,2.23,2.27,2.44,2.52,2.85,2.94,2.47,2.51,2.55,2.96,2.79,2.88,2.72,2.8,2.91,3.51,3.6,3.68,3.23,3.27,3.36,3.1,3.19,3.27,2.96,3.08,3.83,3.92,4,4.14,4.23,4.31,3.95,4.08,4.78,4.88,5.26,5.31,5.4,5.52,5,5.08,5.21,4.81,4.89,5.06,6.31,6.93,7.03,7.12,7.2,6.08,6.21,6.41,6.6
Khoảng cách từ trọng tâm,Cy,cm,0.502,0.541,0.48,0.623,0.779,0.701,0.741,1.06,0.684,0.723,0.972,1.01,1.34,1.42,1.25,1.29,1.37,1.25,1.29,1.21,1.29,0.884,0.963,1.48,1.52,1.56,1.48,1.56,1.64,1.98,2.06,2.17,1.05,1.13,1.21,1.51,1.55,1.63,1.87,1.95,2.03,2.47,2.59,1.87,1.95,2.03,1.68,1.76,1.84,2.23,2.34,1.34,1.42,1.57,1.61,1.69,1.81,2.04,2.12,2.23,2.34,2.42,2.58,1.86,2.01,2.1,2.18,2.26,3.61,3.73,3.93,4.11
Khoảng cách từ trọng tâm,Cu,cm,2.05,2.02,2.58,2.69,3.04,3.36,3.33,3.49,3.88,3.85,4.1,4.08,4.2,4.18,4.53,4.52,4.49,4.83,4.81,5.12,5.08,5.2,5.14,5.57,5.55,5.53,6.13,6.24,6.2,6.31,6.29,6.26,6.55,6.48,6.42,6.83,6.81,6.76,6.95,6.92,6.89,7.04,7.03,8.23,8.19,8.15,8.44,8.39,8.33,8.63,8.58,8.79,8.72,9.82,9.79,9.72,9.63,10.1,10.1,9.98,10.3,10.2,10.2,11.8,13.2,13.1,13,13,13.9,13.9,13.8,13.7
Khoảng cách từ trọng tâm,Cv,cm,1.04,1.04,1.17,1.35,1.58,1.67,1.65,1.85,1.77,1.76,2.11,2.1,2.22,2.24,2.39,2.39,2.39,2.52,2.52,2.64,2.62,2.38,2.34,2.92,2.92,2.92,3.16,3.27,3.26,3.35,3.35,3.38,3,2.96,2.93,3.49,3.47,3.45,3.65,3.65,3.65,3.68,3.71,4.23,4.21,4.2,4.2,4.17,4.15,4.52,4.52,3.95,3.91,4.5,4.48,4.44,4.4,5.03,5,4.98,5.29,5.28,5.26,5.42,6.05,6,5.96,5.93,7.34,7.33,7.34,7.36
Mô men quán tính với trục x,Jx,cm4,1.25,1.59,3.59,3.89,6.98,7.71,9.36,10.3,15.6,18.2,17.2,20.1,21.7,27.7,23.2,27.2,34.8,33.4,38.2,40.5,52,44.9,57.6,51.4,59,66.3,92.3,73.4,94.9,99.5,121,150,89.9,116,141,113,127,154,133,162,189,172,215,226,276,323,247,302,354,321,404,291,356,455,501,588,713,533,627,761,553,651,834,882,1220,1440,1650,1861,1650,2022,2602,3139
