Số hiệu,Code,,T20x20,T25x25,T30x30,T35x35,T40x40,T50x50,T60x60,T70x70,T75x75,T80x80,T90x90,T100x00,T120x20,T140x40
Diện tích tiết diện,F,cm2,1.12,1.64,2.26,2.97,3.77,5.66,7.94,10.6,11.6,13.6,17.1,20.9,29.6,39.9
Khối lượng riêng,g,kg/m,0.88,1.29,1.77,2.33,2.96,4.44,6.23,8.32,9.08,10.7,13.4,16.4,16.4,31.3
Chiều cao,h,mm,20,25,30,35,40,50,60,70,75,80,90,100,120,140
Chiều rộng,b,mm,20,25,30,35,40,50,60,70,75,80,90,100,120,140
Chiều dày cánh,tf,mm,3,3.5,4,4.5,5,6,7,8,8,9,10,11,13,15
Chiều dày thân,tw,mm,3,3.5,4,4.5,5,6,7,8,8,9,10,11,13,15
Bán kính lượn thân,r1,mm,3,3.5,4,4.5,5,6,7,8,8,9,10,11,13,15
Bán kính lượn cánh,r2,mm,1.5,2,2,2.5,2.5,3,3.5,4,4.5,4.5,5,5.5,6.5,7.5
Bán kính đầu thân,r3,mm,1,1,1,1,1,1.5,2,2,2,2,2.5,3,3,4
Khoảng cách từ trọng tâm,Cx,cm,0.58,0.73,0.85,0.99,1.12,1.39,1.66,1.94,2.14,2.22,2.48,2.74,3.28,3.8
Mô men quán tính với trục x,Jx,cm4,0.38,0.87,1.72,3.1,5.28,12.1,23.8,44.5,60.5,73.7,119,179,366,660
Mô đun cản với trục x,Zx,cm3,0.27,0.49,0.8,1.23,1.84,3.36,5.48,8.79,11.3,12.8,18.2,24.6,42,64.7
Bán kính quán tính với trục x,rx,cm,0.58,0.73,0.87,1.04,1.18,1.46,1.73,2.05,2.29,2.33,2.64,2.92,3.51,4.07
Mô men quán tính với trục y,Jy,cm4,0.2,0.43,0.87,1.57,2.58,6.06,12.2,22.1,28.1,37,58.5,88.3,178,330
Mô đun cản với trục y,Zy,cm3,0.2,0.34,0.58,0.9,1.29,2.42,4.07,6.32,7.49,9.25,13,17.7,29.7,47.2
Bán kính quán tính với trục y,ry,cm,0.42,0.51,0.62,0.73,0.83,1.03,1.24,1.44,1.56,1.65,1.85,2.05,2.45,2.88
Diện tích sơn theo chiều dài,fSL,m²/m,0.0891,0.0984,0.108,0.1173,0.127,0.146,0.1649,0.1839,0.1934,0.2028,0.2218,0.2407,0.2786,0.3165
Diện tích sơn theo trọng lượng,fSG,m²/T,101.24,76.24,61.04,50.35,42.9,32.87,26.47,22.1,21.3,18.95,16.55,14.68,16.99,10.11
