Số hiệu,Code,,80x8,100x10,120x12,140x15,160x18,180x21,200x25,220x29,250x34,300x45,350x52,400x59
Khối lượng riêng,g,kg/m,8.23,10.3,12.5,15,18.2,21.3,25.2,28.7,33.9,45.2,51.8,58.9
Diện tích tiết diện,F,cm2,10.5,13.1,16,19.2,23.2,27.2,32.1,36.6,43.2,57.5,66,75
Chiều cao,h,mm,80,100,120,140,160,180,200,220,250,300,350,400
Chiều rộng,b,mm,45,50,55,60,65,70,75,80,85,100,100,100
Chiều dày cánh,tf,mm,7.5,8,8.5,9,10,10.5,11.5,12,13,15,16,17
Chiều dày thân,tw,mm,5.5,5.9,6.3,6.7,7.2,7.7,8.2,8.7,9.2,10,10.5,11
Bán kính lượn thân,r1,mm,8,8,8,9,9,10,12,12,13.5,15,16,17
Bán kính lượn cánh,r2,mm,4,4.5,4.5,4.5,5.5,5.5,6,6.5,7,8,8,8.5
Khoảng cách từ trọng tâm,Cy,cm,1.43,1.51,1.6,1.68,1.81,1.9,2.02,2.11,2.2,2.6,2.48,2.38
Mô men quán tính với trục x,Jx,cm4,102,200,350,570,900,1320,1930,2640,4000,7800,11900,17200
Mô đun cản với trục x,Zx,cm3,25.6,40,58.4,81.4,113,147,193,240,320,520,678,858
Bán kính quán tính với trục x,rx,cm,3.12,3.91,4.68,5.45,6.22,6.98,7.75,8.5,9.63,11.6,13.4,15.2
Mô men quán tính với trục v,Jv,cm4,18,27.2,39.5,55.3,79,105,142,183,240,452,496,541
Mô đun cản với trục v,Zv,cm3,5.85,7.77,10.1,12.8,16.8,20.6,26,31,38.2,61.1,66.3,71
Bán kính quán tính với trục v,rv,cm,1.3,1.44,1.57,1.67,1.81,1.94,2.1,2.23,2.36,2.8,2.74,2.68
Diện tích sơn theo chiều dài,fSL,m²/m,0.3113,0.369,0.427,0.4844,0.5416,0.5988,0.6551,0.7126,0.7892,0.9423,1.0408,1.1391
Diện tích sơn theo trọng lượng,fSG,m²/T,37.82,35.82,34.16,32.29,29.76,28.11,25.99,24.83,23.28,20.85,20.09,19.34
