Số hiệu,Code,Đơn vị,20x20x3,20x20x4,25x25x3,25x25x4,30x30x3,30x30x4,35x35x4,35x35x5,40x40x3,40x40x4,40x40x5,45x45x4,45x45x5,50x50x4,50x50x5,50x50x6,60x60x5,60x60x6,60x60x8,65x65x6,65x65x8,70x70x6,70x70x7,75x75x6,75x75x8,80x80x6,80x80x8,80x80x10,90x90x8,90x90x9,90x90x10,100x100x8,100x100x10,100x100x12,120x120x8,120x120x10,120x120x12,125x125x8,125x125x10,125x125x12,150x150x10,150x150x12,150x150x15,180x180x15,180x180x18,200x200x16,200x200x20,200x200x24,250x250x28,250x250x35
Khối lượng riêng,g,kg/m,0.882,1.14,1.12,1.45,1.36,1.78,2.09,2.57,1.84,2.42,2.97,2.74,3.38,3.06,3.77,4.47,4.57,5.42,7.09,5.91,7.73,6.38,7.38,6.85,8.99,7.34,9.63,11.9,10.9,12.2,13.4,12.2,15,17.8,1.47,18.2,21.6,15.3,19,22.6,23,27.3,33.8,40.9,48.6,48.5,59.9,71.1,104,128
Diện tích tiết dện,F,cm2,1.12,1.45,1.42,1.85,1.74,2.24,2.67,3.28,2.35,3.08,3.79,3.49,4.3,3.89,4.8,5.69,5.82,6.91,9.03,7.53,9.85,8.13,9.4,8.73,11.4,9.35,12.3,15.1,13.9,15.5,17.1,15.5,19.2,22.7,18.7,23,27.5,19.5,24.2,28.7,29.3,34.8,43,52.1,61.9,61.8,76.3,90.6,"132,5",163
Chiều rộng cánh,a,mm,20,20,25,25,30,30,35,35,40,40,40,45,45,50,50,50,60,60,60,65,65,70,70,75,75,80,80,80,90,90,90,100,100,100,120,120,120,125,125,125,150,150,150,180,180,200,200,200,250,250
Chiều dày trung bình cánh,t,mm,3,4,3,4,3,4,4,5,3,4,5,4,5,4,5,6,5,6,8,6,8,6,7,6,8,6,8,10,8,9,10,8,10,12,8,10,12,8,10,12,10,12,15,15,18,16,20,24,28,35
Bán kính lượn thân,r1,mm,3.5,3.5,3.5,3.5,5,5,5,5,6,6,6,7,7,7,7,7,8,8,8,9,9,9,9,9,9,10,10,10,11,11,11,12,12,12,13,13,13,13,13,13,16,16,16,18,18,18,18,18,18,18
Khoảng cách từ trọng tâm,Cx,cm,0.598,0.64,0.723,0.762,0.835,0.878,1,1.04,1.07,1.12,1.16,1.23,1.28,1.36,1.4,1.45,1.64,1.69,1.77,1.8,1.89,1.93,1.97,2.05,2.14,2.17,2.26,2.34,2.5,2.54,2.58,2.74,2.82,2.9,3.23,3.31,3.4,3.35,3.44,3.52,4.03,4.12,4.25,4.98,5.1,5.52,5.68,5.84,7.24,7.5
Khoáng cách từ trọng tâm,Cu,cm,1.41,1.41,1.77,1.77,2.12,2.12,2.47,2.47,2.83,2.83,2.83,3.18,3.18,3.54,3.54,3.54,4.24,4.24,4.24,4.6,4.6,4.95,4.95,5.3,5.3,5.66,5.66,5.66,6.36,6.36,6.36,7.07,7.07,7.07,8.49,8.49,8.49,8.84,8.84,8.84,10.6,10.6,10.6,12.7,12.7,14.1,14.1,14.1,17.7,17.7
Khoảng cách từ trọng tâm,Cv,cm,0.846,0.9,1.02,1.08,1.18,1.24,1.42,1.48,1.52,1.58,1.64,1.75,1.81,1.9,1.99,2.04,2.32,2.39,2.5,2.55,2.67,2.73,2.79,2.9,3.02,3.07,3.19,3.3,3.53,3.59,3.65,3.87,3.99,4.11,4.56,4.69,4.8,4.74,4.86,4.98,5.71,5.83,6.01,7.05,7.22,7.81,8.04,8.26,10.2,10.6
Momen quán tính với trục x,Jx,cm4,0.392,0.49,0.803,1.02,1.4,1.8,2.95,3.56,3.45,4.47,5.43,6.43,7.84,8.97,11,12.8,19.4,22.8,29.2,29.2,37.5,36.9,42.3,45.8,59.1,55.8,72.2,87.5,104,116,127,145,177,207,255,313,368,290,356,418,624,737,898,1590,1870,2340,2850,3330,7700,9260
Bán kính quán tính với trục x,rx,cm,0.59,0.58,0.751,0.741,0.899,0.892,1.05,1.04,1.21,1.21,1.2,1.36,1.35,1.52,1.51,1.5,1.82,1.82,1.8,1.97,1.95,2.13,2.12,2.29,2.27,2.44,2.43,2.41,2.74,2.73,2.72,3.06,3.04,3.02,3.69,3.67,3.65,3.58,3.84,3.81,4.62,4.6,4.57,5.52,5.49,6.16,6.11,6.06,7.62,7.54
